permit number,description,building type,completed date
6619245-CN,"Establish use as and construct new single family residence with accessory dwelling unit (ADU), per plan.",Single Family/Duplex,2019-12-10
6638864-CN,"Establish use as rowhouse and construct a townhouse structure with surface parking, per plan.",Single Family/Duplex,2019-12-10
6509364-CN,"Construct townhouse structure  with surface parking, per plan.",Multifamily,2019-12-09
6721249-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2019-12-06
6635451-CN,"Construct West single family residence, per plans. (Establish use for 2 single family residences and construct 2 one-family dwellings. Reviews and processing for 2 A/P's under 6625755).",Single Family/Duplex,2019-12-06
6625755-CN,"Construct East single family residence, per plans. (Establish use for 2 single family residences and construct 2 one-family dwellings. Reviews and processing for 2 A/P's under 6625755).",Single Family/Duplex,2019-12-06
6617390-CN,"Establish use as townhouse and construct new Middle duplex with attached garage, per plan.  (Establish use as townhouse and construct three duplexs with attached garages, review and process for 3 A/P's under 6597550).",Single Family/Duplex,2019-12-05
6617391-CN,"Establish use as townhouse and construct new North duplex with attached garage, per plan.  (Establish use as townhouse and construct three duplexs with attached garages, review and process for 3 A/P's under 6597550).",Single Family/Duplex,2019-12-05
6645152-CN,"Establish use as and construct a single-family residence with attached garage, per plan.",Single Family/Duplex,2019-12-05
6593382-CN,"Construct West duplex,(bldg 1) per plan. (Establish use as and construct 3 new duplex with surface parking per plan. Review & process for 3 ap's under 6593382.)",Multifamily,2019-12-05
6642699-CN,"Establish use as and construct a single-family residence, per plans",Single Family/Duplex,2019-12-04
6696229-CN,"Remove existing detached garage and construct detached accessory dwelling unit (DADU) with garage below to existing single family residence, per plan.",Single Family/Duplex,2019-12-03
6632174-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2019-12-03
6612361-CN,"Establish use as and construct two unit duplex townhouse with attached garage, per plan",Single Family/Duplex,2019-12-03
6633312-CN,"Construct East single-family residence, per plan (Establish use as townhouse and single-family residence and construct (1) duplex and (1) single family residence, review and process for 2 AP's under 6628209)",Single Family/Duplex,2019-12-02
6602994-CN,"Establish use as and construct new single family residence and detached accessory dwelling unit (DADU), per plan.",Single Family/Duplex,2019-12-02
6641573-CN,"Establish use as rowhouse and construct 3-unit townhouse, per plan.",Single Family/Duplex,2019-12-02
6628209-CN,"Construct West duplex, per plan (Establish use as townhouse and single-family residence and construct (1) duplex and (1) single family residence, review and process for 2 AP's under 6628209)",Single Family/Duplex,2019-12-02
6594994-CN,"Establish use as rowhouse and construct a townhouse structure with surface parking, per plan.",Single Family/Duplex,2019-12-02
6594470-CN,Establish use as and construct new single family residence with attached garage per plan.,Single Family/Duplex,2019-12-02
6625720-CN,"Construct duplex townhouse, per plan. (Construct live-work building, two single family residences, and duplex townhouse, per plan. Four A/P's under 6600642).",Single Family/Duplex,2019-11-27
6625718-CN,"Construct west single family residence, per plan. (Construct live-work building, two single family residences, and duplex townhouse, per plan. Four A/P's under 6600642).",Single Family/Duplex,2019-11-27
6625719-CN,"Construct east single family residence, per plan. (Construct live-work building, two single family residences, and duplex townhouse, per plan. Four A/P's under 6600642).",Single Family/Duplex,2019-11-27
6597345-CN,"Establish use and construct a single family dwelling with attached garage, per plan.",Single Family/Duplex,2019-11-27
6593274-CN,"Establish use as live-work and construct a townhouse structure, occupy per plan.",Multifamily,2019-11-27
6525026-CN,"Establish use as single family residence and construct single family dwelling with accessory dwelling unit, per plan.",Single Family/Duplex,2019-11-27
6589640-CN,"Construct two unit townhouse with attached garage and surface parking, per plans. (Establish use as and construct a two family dwelling and (2) single family residences, per plans. Reviews and processing for 3 A/P's under 6589640)",Single Family/Duplex,2019-11-26
6513443-CN,"Establish use as and construct single family residence, per plan (existing detached garage to remain)",Single Family/Duplex,2019-11-25
6558994-CN,"Establish use as and construct new apartment building, occupy per plan.",Multifamily,2019-11-22
6681514-CN,"Establish use as and construct single family residence, and detached accessory dwelling unit (DADU) with garage, per plan.",Single Family/Duplex,2019-11-21
6602263-CN,"Establish use as rowhouse and construct a townhouse building, per plans",Multifamily,2019-11-21
6635814-CN,"Establish use as and construct a single family residence, per plan.",Single Family/Duplex,2019-11-21
6612370-CN,"Establish use as and construct two unit duplex townhouse with attached garage, per plan",Single Family/Duplex,2019-11-20
6597678-CN,"Construct(east)rowhouse and occupy, per plan.Building 2 (Establish use as (1) rowhouse structure and (1) live/work structure and construct new townhouse and live/work structure processing of 2 AP's under 6597678.)",Multifamily,2019-11-20
6576437-CN,"Establish use as and construct two unit duplex townhouse with attached garage, per plan",Single Family/Duplex,2019-11-20
6623554-CN,Construct (west)live/work structure and occupy per plan.(Building 1)(Establish use as (1) rowhouse structure and (1) live/work structure and construct new townhouse and live/work structure processing of 2 AP?s under 6597678.),Multifamily,2019-11-19
6610010-CN,"Establish use and construct single family residence, per plan.",Single Family/Duplex,2019-11-18
6641971-CN,"Establish use as and construct a single-family residence, per plan.",Single Family/Duplex,2019-11-18
6558317-CN,"Construct new mixed use building with parking below, per plan (shoring and excavation under No. 6567217).",Multifamily,2019-11-18
6676285-CN,"Establish use and construct one single family residence with attached garage, per plan.",Single Family/Duplex,2019-11-15
6636472-CN,"Construct East duplex,(bldg 3) per plan. (Establish use as and construct 3 new duplex with surface parking per plan. Review & process for 3 ap's under 6593382.)",Multifamily,2019-11-15
6636471-CN,"Construct Middle duplex,(bldg 2) per plan. (Establish use as and construct 3 new duplex with surface parking per plan. Review & process for 3 ap's under 6593382.)",Multifamily,2019-11-15
6669351-CN,"Construct single family residence with attached garage, per plan",Single Family/Duplex,2019-11-14
6607563-CN,"Establish use as and construct new single family residence, per plans.",Single Family/Duplex,2019-11-14
6636780-CN,"Establish use as rowhouse and construct new townhouse building with attached garages, per plan.",Single Family/Duplex,2019-11-14
6637000-CN,"Establish use as and construct a single-family residence and shoring/site work, per plans.",Single Family/Duplex,2019-11-14
6442702-CN,Construct (building A) live/work units with parking garage and occupy per plan. (Establish use as and construct 2 new multi-family structures (townhouses and live/work) with parking and processing of 2 APs under 6442702.),Multifamily,2019-11-14
6300390-CN,"Establish use and construct single family residence, per plan.  Existing garage to remain.",Single Family/Duplex,2019-11-14
6677421-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2019-11-13
6631155-CN,"Establish use as and construct a single family residence with an accessory dwelling unit, per plans.",Single Family/Duplex,2019-11-13
6641974-CN,"Establish use as rowhouse and construct three-unit townhouse building and occupy, per plans",Multifamily,2019-11-12
6614382-CN,"Establish use as and construct new single family residence, per plan",Single Family/Duplex,2019-11-12
6755108-CN,"Complete and finish work on permit 6139542-CN, per STFI",Single Family/Duplex,2019-11-07
6625310-CN,"Establish use as and construct new single-family residence with new detached accessory dwelling unit, per plan.",Single Family/Duplex,2019-11-07
6713782-CN,"Construct new deck to existing single family residence, per plan.",Single Family/Duplex,2019-11-06
6635899-CN,"Establish use as and construct a single-family residence with attached garage, per plan.",Single Family/Duplex,2019-11-06
6614659-CN,"Establish use as single family residence and construct one family dwelling, per plans",Single Family/Duplex,2019-11-05
6550131-CN,"Establish use as and construct a single-family residence, per plans",Single Family/Duplex,2019-11-05
6622348-CN,"Construct west townhouse and occupy, per plan (Establish use as rowhouse and construct 2 four-unit townhouse buildings/review and process and for (2) A/P's under 6594194).",Multifamily,2019-11-04
6594194-CN,"Construct east townhouse and occupy, per plan (Establish use as rowhouse and construct 2 four-unit townhouse buildings/review and process and for (2) A/P's under 6594194).",Multifamily,2019-11-04
6675878-CN,"Establish use as and construct a single-family residence and accessory dwelling unit (ADU), per plans",Single Family/Duplex,2019-11-01
6626624-CN,"Establish use as single family residence and construct one family dwelling with accessory dwelling unit and detached gazebo, per plans.",Single Family/Duplex,2019-11-01
6570519-CN,"Construct a 2 unit townhouse building (Building K) with attached garage, per plans.",Multifamily,2019-11-01
6570516-CN,"Construct a 3 unit townhouse building (Building I) with attached garage, per plans.",Multifamily,2019-10-30
6601467-CN,"Establish use as rowhouse and construct a townhouse structure with surface parking, per plan.",Multifamily,2019-10-29
6637250-CN,"Construct north (SFR-2), per plan. (Establish use as and construct (2) single family residences, per plan. Review and processing for 2 A/P's under 6614244)",Single Family/Duplex,2019-10-28
6614244-CN,"Construct south (SFR-1), per plan. (Establish use as and construct (2) single family residences, per plan. Review and processing for 2 A/P's under 6614244)",Single Family/Duplex,2019-10-28
6549334-CN,"Construct an apartment building with live work units, occupy per plan.",Multifamily,2019-10-28
6641591-CN,"Establish use as single family residence and construct one family dwelling, per plans.  Project includes removal of existing shed",Single Family/Duplex,2019-10-25
6648552-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2019-10-25
6594507-CN,"Establish use as and construct a townhouse building, per plans",Multifamily,2019-10-23
6585537-CN,"Establish use as and construct new townhouse building with surface parking, per plan.",Multifamily,2019-10-22
6677526-CN,"Construct West townhouse, per plan (Establish use as rowhouse and townhouse and construct 2 townhouse structures with attached parking, review and process for 2 records under # 6595006-CN)",Multifamily,2019-10-21
6595006-CN,"Construct East Rowhouse, per plan (Establish use as rowhouse and townhouse and construct 2 townhouse structures with attached parking, review and process for 2 records under # 6595006-CN)",Multifamily,2019-10-21
6667587-CN,"Construct east single family dwelling with attached garage, per plan.  (Establish use as single family residence and construct 3 single family dwellings, review and process for 3 permits under 6666040-CN.)",Single Family/Duplex,2019-10-18
6670908-CN,"Establish use as and construct single-family residence with attached garage, per plan",Single Family/Duplex,2019-10-18
6618422-CN,"Establish use as townhouses and construct a two family residence, per plans.",Single Family/Duplex,2019-10-17
6667724-CN,"Construct new SE (SFR 2) single family residence, per plan (Establish use as and construct (4) new single family residences with attached garages/ review and process for 4 records under 6637242 - CN)",Single Family/Duplex,2019-10-16
6637242-CN,"Construct new NW (SFR 1) single family residence, per plan (Establish use as and construct (4) new single family residences with attached garages/ review and process for 4 records under 6637242 - CN)",Single Family/Duplex,2019-10-16
6617907-CN,"Establish use as and construct a single-family residence, per plans",Single Family/Duplex,2019-10-16
6571738-CN,Establish use and construct single family dwelling with attached garage per plan.,Single Family/Duplex,2019-10-16
6595586-CN,"Construct townhouse building with common parking and occupy, per plan",Single Family/Duplex,2019-10-15
6696238-CN,"Establish use as and install a new floating home, Slip G.  per plan.",Single Family/Duplex,2019-10-14
6628434-CN,"Establish use as and construct a single family residence with an accessory dwelling unit, per plan.",Single Family/Duplex,2019-10-11
6618421-CN,"Establish use as rowhouse and construct a townhouse structure with attached garages, occupy per plan.",Multifamily,2019-10-11
6667722-CN,"Construct new SW (SFR 2) single family residence, per plan (Establish use as and construct (4) new single family residences with attached garages/ review and process for 4 records under 6637242 - CN)",Single Family/Duplex,2019-10-11
6667723-CN,"Construct new NE (SFR 3) single family residence, per plan (Establish use as and construct (4) new single family residences with attached garages/ review and process for 4 records under 6637242 - CN)",Single Family/Duplex,2019-10-11
6604755-CN,"Establish use as and Construct single family residence with attached garage, per plan",Single Family/Duplex,2019-10-10
6587907-CN,"Establish use as and construct 5 unit row house, per plan",Multifamily,2019-10-10
6671793-CN,"Construct detached accessory dwelling unit, per plan.",Single Family/Duplex,2019-10-09
6605349-CN,Establish use as and construct new single-family residence per plan.,Single Family/Duplex,2019-10-09
6623261-CN,"Establish use as and construct single family residence with attached garage, per plan.",Single Family/Duplex,2019-10-09
6590135-CN,"Establish use and construct single family residence with attached garage and accessory dwelling unit (ADU), per plan",Single Family/Duplex,2019-10-03
6604992-CN,"Establish use as and construct a single family residence with detached garage, per plan.",Single Family/Duplex,2019-10-02
6603247-CN,"Construct Middle Single family residence, per plan (Establish use as and construct (3) single family residences with surface parking / review and process for 3 AP's under 6583275)",Single Family/Duplex,2019-10-01
6605120-CN,"Establish use and construct single family residence, per plan.",Single Family/Duplex,2019-09-30
6591679-CN,"Establish use as rowhouse and construct new townhouse, per plan.",Multifamily,2019-09-30
6620551-CN,"Construct East single family residence, per plan. (Establish use as single family and construct (3) single family residences with attached garages; review and process for three A/P's under 6593595.",Single Family/Duplex,2019-09-25
6584348-CN,"Establish use as and construct single family residence with attached garage, per plan.",Single Family/Duplex,2019-09-25
6380136-CN,"Establish use as and construct single family residence with attached terraced garage, and occupy, per plan.",Single Family/Duplex,2019-09-24
6588607-CN,Construct (east) 3 unit townhouse per plan. Primary. (Establish use as and construct 2 new townhouse structures and processing of 2 AP's under 6456317),Multifamily,2019-09-23
6456317-CN,Construct (west) 3 unit townhouse per plan. Primary. (Establish use as and construct 2 new townhouse structures and processing of 2 AP's under 6456317),Multifamily,2019-09-23
6678016-CN,"Establish use as rowhouse and construct townhouse, per plan.",Multifamily,2019-09-20
6466102-CN,"Construct two-family dwelling, per plan. (Establish use as single family residence and townhouse and construct two-family dwelling and single family residence, review and processing for 2 AP's under 6466102).",Single Family/Duplex,2019-09-19
6702735-CN,"Complete and final permit 6198191-CN approved set of drawings to be on site, per STFI",Single Family/Duplex,2019-09-18
6522682-CN,"Establish use as rowhouse and construct new multifamily structure, per plan.",Multifamily,2019-09-18
6605877-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2019-09-17
6617164-CN,"Establish use as and construct a single family residence, per plan.",Single Family/Duplex,2019-09-17
6689594-CN,"Construct a detached accessory dwelling unit (DADU) for a single-family residence, per plan.",Single Family/Duplex,2019-09-13
6637280-CN,"Establish use as and construct a single-family residence, per plans.",Single Family/Duplex,2019-09-13
6627101-CN,"Establish use as and construct single family residence with attached garage, per plan.",Single Family/Duplex,2019-09-13
6585434-CN,"Establish use as and construct a single-family residence, per plans.",Single Family/Duplex,2019-09-13
6545943-CN,"Establish use as rowhouse and construct a multifamily structure with attached parking spaces, per plan.",Multifamily,2019-09-13
6627899-CN,"Establish use as and construct single family residence with attached garage, per plan.",Single Family/Duplex,2019-09-12
6609776-CN,"Establish use as and construct a single-family residence maintaining a portion of existing foundation, per plans.",Single Family/Duplex,2019-09-11
6675368-CN,"Construct a single-family residence, per plans.",Single Family/Duplex,2019-09-11
6591014-CN,"Establish use as and construct new single-family residence, per plan.",Single Family/Duplex,2019-09-11
6575205-CN,"Establish use as and construct a new two-family dwelling, per plans.",Single Family/Duplex,2019-09-11
6712140-CN,"Construct interior alterations in existing single-family residence to remodel the kitchen and existing exterior deck, subject to field inspection (STFI)",Single Family/Duplex,2019-09-10
6623254-CN,"Establish use as and construct new single-family residence, per plan.",Single Family/Duplex,2019-09-10
6469610-CN,Construct residential building with surface parking and occupy per plan.,Multifamily,2019-09-10
6666034-CN,"Establish use as single family residence and construct one family dwelling, per plans.",Single Family/Duplex,2019-09-09
6615350-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2019-09-06
6629304-CN,"Establish use as and construct a single-family residence, per plans",Single Family/Duplex,2019-09-05
6571375-CN,"Establish use as rowhouse and construct 5-unit townhouse, per plan.",Multifamily,2019-09-05
6639716-CN,Construct new single family residence with attached garage.  Demolish existing residence.,Single Family/Duplex,2019-09-04
6627103-CN,"Establish use as single family residence and construct one family dwelling, per plans. Project includes removal of existing detached garage.",Single Family/Duplex,2019-09-04
6674517-CN,"Establish use as and construct east single family residence, per plan (Establish use as and construct two single family residences, per plan - processing for 2 records under 6671668-CN)",Single Family/Duplex,2019-09-03
6629681-CN,"Establish use as single family residence and construct one family dwelling, per plans.",Single Family/Duplex,2019-09-03
6671668-CN,"Establish use as and construct west single family residence, per plan (Establish use as and construct two single family residences, per plan - processing for 2 records under 6671668-CN)",Single Family/Duplex,2019-09-03
6669355-CN,Establish use as and construct new townhouse per plan.,Multifamily,2019-08-30
6612764-CN,"Establish use as townhouse and construct townhouse building, per plan.",Multifamily,2019-08-30
6584152-CN,"Establish use as and construct a multi-family building and live/work units, occupy per plans.",Multifamily,2019-08-29
6604991-CN,"Establish use as rowhouse and construct 3-unit townhouse with surface parking, per plan.",Multifamily,2019-08-28
6611099-CN,"Establish use as rowhouse and construct a 3-unit townhouse with surface parking, per plan.",Multifamily,2019-08-27
6596124-CN,"Construct new townhouse building, per plan.",Multifamily,2019-08-27
6628171-CN,"Establish use and construct a single family dwelling, per plan.",Single Family/Duplex,2019-08-26
6620550-CN,"Construct North single family residence, per plan. (Establish use as single family and construct (3) single family residences with attached garages; review and process for three A/P's under 6593595.",Single Family/Duplex,2019-08-26
6593595-CN,"Construct South single family residence, per plan. (Establish use as single family and construct (3) single family residences with attached garages; review and process for three A/P's under 6593595.",Single Family/Duplex,2019-08-26
6526337-CN,"Establish use and construct a multifamily structure with below grade parking, occupy per plan.",Multifamily,2019-08-22
6412903-CN,"Establish uses as congregate residences, townhomes, apartments, and live-work. Construct mixed use building with 3 boarding houses, livework units, apartments and underground parking, including mechanical, and occupy, per plan.",Multifamily,2019-08-22
6628776-CN,"Construct south single family dwelling, per plan. (Establish use as single family residence and construct 3 single family dwellings/ review and processing for 3 AP's under # 6628776).",Single Family/Duplex,2019-08-21
6645802-CN,"Construct north single family dwelling, per plan. (Establish use as single family residence and construct 3 single family dwellings/ review and processing for 3 AP's under # 6628776).",Single Family/Duplex,2019-08-21
6645801-CN,"Construct center single family dwelling, per plan. (Establish use as single family residence and construct 3 single family dwellings/ review and processing for 3 AP's under # 6628776).",Single Family/Duplex,2019-08-21
6548645-CN,"Establish use as and construct single family residence with accessory dwelling unit, per plan.",Single Family/Duplex,2019-08-21
6618419-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2019-08-16
6615431-CN,"Establish use as and Construct new single family residence with attached garage, per plan",Single Family/Duplex,2019-08-15
6650230-CN,"Remove detached garage, establish use as single family residence and construct one family dwelling, per plan.",Single Family/Duplex,2019-08-14
6595047-CN,"Establish use as and construct single family residence with attached garage, per plan.",Single Family/Duplex,2019-08-14
6599833-CN,"Establish use as rowhouse and construct townhouse and occupy, per plan.",Multifamily,2019-08-14
6525038-CN,"Establish use as and construct single family residence with attached garage, per plan.",Single Family/Duplex,2019-08-14
6658162-CN,"Construct East duplex, per plan. (Establish use as duplex and single family and construct a single family residence and a duplex, per plan. Review and process for 2 A/P's under 6634689).",Single Family/Duplex,2019-08-13
6634689-CN,"Construct West single family residence, per plan. (Establish use as duplex and single family and construct a single family residence and a duplex, per plan. Review and process for 2 A/P's under 6634689).",Single Family/Duplex,2019-08-13
6683868-CN,"Establish use and construct three (3) townhouses, per plan.",Multifamily,2019-08-12
6657381-CN,"Construct 2 unit, per plans (Establish use as townhouses and construct a townhouse bldg. and a two-family dwelling, per plans. Reviews and processing for 2 A/P's under 6611916)",Multifamily,2019-08-12
6611916-CN,"Construct 3 unit, per plans (Establish use as townhouses and construct a townhouse bldg. and a two-family dwelling, per plans. Reviews and processing for 2 A/P's under 6611916)",Multifamily,2019-08-12
6562387-CN,"Establish use as and construct new single family residence with an accessory dwelling unit (ADU), per plan.",Single Family/Duplex,2019-08-12
6481455-CN,"Establish use as multifamily residential apartment and construct new apartment building, occupy per plans.  Shoring and excavation under permit # 6467882.",Multifamily,2019-08-09
6624729-CN,"Construct new single family residence (SFR1) to the West, per plan. (Establish use as and construct 3 new single family residences, per plan. Review & processing for 3 AP's under permit #6624729)",Single Family/Duplex,2019-08-08
6639399-CN,"Construct single family dwelling, per plan. (Establish use as single family residence and townhouse and construct single family dwelling and two-family dwelling, review and process for 2 AP's under AP# 6639399.)",Single Family/Duplex,2019-08-08
6647499-CN,"Construct new single family residence (SFR2) to the middle, per plan. (Establish use as and construct 3 new single family residences, per plan. Review & processing for 3 AP's under permit #6624729)",Single Family/Duplex,2019-08-08
6647500-CN,"Construct new single family residence (SFR3) to the East, per plan. (Establish use as and construct 3 new single family residences, per plan. Review & processing for 3 AP's under permit #6624729)",Single Family/Duplex,2019-08-08
6578774-CN,"Establish use as and construct new single-family residence with accessory dwelling unit, existing foundation to remain, per plan.",Single Family/Duplex,2019-08-08
6549830-CN,"Construct a detached accessory dwelling unit (DADU) for a single-family residence, per plan.",Single Family/Duplex,2019-08-08
6625564-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2019-08-07
6606267-CN,"Establish use as and construct 3-unit rowhouse with surface parking, per plan",Multifamily,2019-08-06
6608191-CN,"Establish use as and construct a single-family residence, per plans.",Single Family/Duplex,2019-08-06
6573266-CN,"Establish use as rowhouse and construct new townhouse structure with surface parking, per plan.",Multifamily,2019-08-06
6586028-CN,"Construct new single family residence West bldg. B, per plan. (Establish use and construct 3 new single family residences with surface parking, per plan. Review & process for 3 AP's under #6573270).",Single Family/Duplex,2019-08-06
6579435-CN,"Construct a mixed-use structure, occupy per plan.",Multifamily,2019-08-06
6573270-CN,"Construct new single family residence North bldg. A, per plan. (Establish use and construct 3 new single family residences with surface parking, per plan. Review & process for 3 AP's under #6573270).",Single Family/Duplex,2019-08-06
6586029-CN,"Construct new single family residence East bldg. C, per plan. (Establish use and construct 3 new single family residences with surface parking, per plan. Review & process for 3 AP's under #6573270).",Single Family/Duplex,2019-08-06
6727078-CN,"New deck to rear of a single-family residence, subject to field inspection (STFI).",Single Family/Duplex,2019-08-05
6627767-CN,"Establish use as and construct a single-family residence with attached garage, per plan.",Single Family/Duplex,2019-08-05
6557061-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2019-08-05
6542258-CN,"Construct a six unit townhouse with attached parking, per plan.",Multifamily,2019-08-01
6596140-CN,"Establish use as and Construct live work building and occupy, per plan (Establish use as and construct live work and town house buildings, per plan - 2APs under 6596140)",Multifamily,2019-08-01
6504535-CN,"Establish use and construct an adult family home with associated parking, per plan.",Single Family/Duplex,2019-07-31
6632935-CN,"Construct (north) single family residence, per plan. (Establish use as and construct two new single family structures and processing of 2 AP's under 6632935).",Single Family/Duplex,2019-07-29
6618456-CN,"Establish use as and construct a single-family residence with attached garage, per plan.",Single Family/Duplex,2019-07-29
6612272-CN,"Construct Middle single family residence, per plan. (Establish use as and construct a single family residence with surface parking, per plan. Review and process for 3 AP's under 6591907)",Single Family/Duplex,2019-07-26
6612273-CN,"Construct East single family residence, per plan. (Establish use as and construct a single family residence with surface parking, per plan. Review and process for 3 AP's under 6591907)",Single Family/Duplex,2019-07-26
6591907-CN,"Construct West single family residence, per plan. (Establish use as and construct a single family residence with surface parking, per plan. Review and process for 3 AP's under 6591907)",Single Family/Duplex,2019-07-26
6407714-CN,"Establish use as apartments. Construct apartment building and occupy, per plans.",Multifamily,2019-07-26
6613192-CN,"Establish use and construct a single family dwelling with accessory dwelling unit (ADU) and attached garage, per plan.",Single Family/Duplex,2019-07-25
6572348-CN,"Construct South single family residence, per plan (Establish use as and construct (3) single family residences with surface parking, review and process for 3 AP's under 6558461)",Single Family/Duplex,2019-07-25
6594170-CN,"Establish use as row house and construct 3-unit townhome structure with surface parking, per plan.",Multifamily,2019-07-25
6687892-CN,"Establish use and construct single family dwelling with attached garage, per plan.",Single Family/Duplex,2019-07-23
6608812-CN,"Establish use as and construct new single-family residence, per plan.",Single Family/Duplex,2019-07-23
6601516-CN,"Establish use as townhouses and construct 7-unit townhouse, per plans.",Multifamily,2019-07-23
6547083-CN,"Establish use as and construct a multi-family building, occupy per plans.",Multifamily,2019-07-23
6600969-CN,"Establish use as and construct a single-family residence, per plans",Single Family/Duplex,2019-07-19
6578892-CN,"Construct west bldg. per plans. (Establish use as and construct 2 townhouse buildings, per plans. Reviews and processing for 2 A/P's under 6578892)",Multifamily,2019-07-19
6627753-CN,"Establish use as and construct new single-family residence, per plan.",Single Family/Duplex,2019-07-18
6598669-CN,"Establish use as and construct a single-family residence and a detached accessory dwelling unit (DADU), per plans. (demo under 6604871)",Single Family/Duplex,2019-07-18
6533037-CN,"Establish use as and construct single family residence on portions of existing foundation and detached garage with accessory dwelling unit (DADU), per plan.",Single Family/Duplex,2019-07-18
6608814-CN,"Establish use as rowhouse and construct 3-unit townhouse with surface parking, per plan.",Multifamily,2019-07-17
6619231-CN,"Establish use as duplex and construct a two-family dwelling, per plans",Single Family/Duplex,2019-07-15
6581499-CN,"Establish use as townhouse and construct duplex, per plan",Single Family/Duplex,2019-07-12
6599238-CN,"Establish use as and construct new single-family residence and detached accessory dwelling unit, per plan.",Single Family/Duplex,2019-07-12
6600409-CN,"Establish use as and Construct WEST town house building, per plan (Establish use as and construct two town house buildings /review & process for 2APs under 6600409).",Multifamily,2019-07-12
6543675-CN,"Establish use as rowhouse and construct new townhouse structure with surface parking, per plan.",Multifamily,2019-07-10
6623851-CN,"Establish use as and construct new single-family residence, per plan.",Single Family/Duplex,2019-07-09
6678015-CN,"Establish use as townhouses and construct duplex, per plan.",Single Family/Duplex,2019-07-03
6634338-CN,"Establish use as and construct new single family residence on existing foundation, per plan.",Single Family/Duplex,2019-07-03
6623655-CN,"Establish use and construct a single family dwelling with attached garage, per plan. Establish standard plan (AP# 6641737).",Single Family/Duplex,2019-07-03
6619188-CN,"Construct south townhouse structure, per plan (Establish use as and construct 2 townhouse structures, review and process for 2 AP's under #6570168",Multifamily,2019-07-03
6614341-CN,"Construct east bldg. per plans. (Establish use as and construct 2 townhouse buildings, per plans. Reviews and processing for 2 A/P's under 6578892)",Multifamily,2019-07-02
6584291-CN,"Establish use as single family residence and construct one family dwelling, per plan.",Single Family/Duplex,2019-07-02
6603016-CN,"Establish use as and construct a single-family residence, per plans",Single Family/Duplex,2019-07-01
6619062-CN,Establish use and construct a single family dwelling per plan.,Single Family/Duplex,2019-07-01
6594325-CN,"Construct west townhouse, per plan. (Establish use as and construct 2 townhouse structures, one with attached garages / review and process for 2 AP's under #6566072)",Single Family/Duplex,2019-07-01
6566072-CN,"Construct east townhouse with attached garages, per plan. (Establish use as and construct 2 townhouse structures, one with attached garages / review and process for 2 AP's under #6566072)",Multifamily,2019-07-01
6636319-CN,"Construct east single family dwelling with attached garage, per plan.  (Establish use as single family residence and construct two single family dwellings, review and process for two AP's under # 6619921.)",Single Family/Duplex,2019-06-28
6612537-CN,"Establish use as and construct new single family residence, per plan (Establish Standard plan #6635286).",Single Family/Duplex,2019-06-28
6619921-CN,"Construct west single family dwelling with attached garage, per plan.  (Establish use as single family residence and construct two single family dwellings, review and process for two AP's under # 6619921.)",Single Family/Duplex,2019-06-28
6629795-CN,"Establish use as and construct new single-family residence with accessory dwelling unit in basement and detached garage, per plan.",Single Family/Duplex,2019-06-27
6546190-CN,"Establish use as 2 live/work and 13 SEDU apartments and construct new multifamily building, occupy per plan.",Multifamily,2019-06-26
6639011-CN,"Establish use as and construct new single-family residence, per plan.",Single Family/Duplex,2019-06-25
6575329-CN,"Establish use as and construct a single-family residence with attached garage, per plan.",Single Family/Duplex,2019-06-25
6595252-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2019-06-25
6576842-CN,"Establish use and construct single family dwelling with attached garage, per plan.",Single Family/Duplex,2019-06-25
6577433-CN,"Establish use as and construct a single-family residence with attached garage, per plan.",Single Family/Duplex,2019-06-25
6536939-CN,"Establish use as and construct new single family residence with detached garage and accessory dwelling unit, per plan.",Single Family/Duplex,2019-06-25
6619018-CN,"Establish use as and construct a single-family residence maintaining a portion of existing foundation, per plans.",Single Family/Duplex,2019-06-24
6633755-CN,"Establish use as and construct a single-family residence, per plan.",Single Family/Duplex,2019-06-24
6718562-CN,"Complete and final for 6421289, subject to field inspection (STFI).",Single Family/Duplex,2019-06-21
6649229-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2019-06-21
6622990-CN,"Construct E middle SFR (B) per plans. (Establish use as and construct 3 single-family residences and one townhouse 2 family-dwelling, per plans. Reviews and processing for 4 A/P's under 6601723)",Single Family/Duplex,2019-06-20
6601723-CN,"Construct SE duplex (CD) per plans. (Establish use as and construct 3 single-family residences and one townhouse 2 family-dwelling, per plans. Reviews and processing for 4 A/P's under 6601723)",Single Family/Duplex,2019-06-20
6622989-CN,"Construct NE SFR (A) per plans. (Establish use as and construct 3 single-family residences and one townhouse 2 family-dwelling, per plans. Reviews and processing for 4 A/P's under 6601723)",Single Family/Duplex,2019-06-20
