,PermitNum,PermitClass,AppliedDate,CompletedDate,Description
351,6355898-CN,Multifamily,2013-11-21,2015-05-12,"Construct Northeast duplex townhouse structure (bldg. E), per plan. (Establish use as and construct three single family residences and two duplex townhouse structures, per plan/Reviews and processing for 5 AP's under 6355898)"
352,6384776-CN,Single Family/Duplex,2013-11-19,2015-09-15,Construct north duplex per plan (Establish use as rowhouses and Construct 2 new duplexes with parking/Review and process for 2 A/P's under 6384776).
353,6392531-CN,Single Family/Duplex,2013-11-18,2015-09-08,Construct north duplex per plan (Establish use as rowhouses and Construct 2 new duplexes with parking/Review and process for 2 A/P's under 6384776).
354,6391965-CN,Multifamily,2013-11-15,2015-07-16,"Construct East-Middle single family residence (bldg. B), per plan. (Establish use as and construct three single family residences and two duplex townhouse structures, per plan/Reviews and processing for 5 AP's under 6355898)"
355,6337103-CN,Multifamily,2013-11-15,2016-02-29,"Construct West flourplex 4 unit townhouse structure with surface parking per plan. (Establish use as and construct 2 duplex towhouse and 4 unit towhouse structures, per plan. Reviews and processing for 3 AP's under 6337103)"
356,6392290-CN,Multifamily,2013-11-15,2015-12-22,"Construct SE duplex structure with surface parking per plan. (Establish use as and construct 2 duplex towhouse and 4 unit towhouse structures, per plan. Reviews and processing for 3 AP's under 6337103)"
357,6391967-CN,Multifamily,2013-11-15,2015-04-24,"Construct Southeast duplex townhouse structure (bldg.D), per plan. (Establish use as and construct three single family residences and two duplex townhouse structures, per plan/Reviews and processing for 5 AP's under 6355898)"
358,6391964-CN,Multifamily,2013-11-15,2015-02-09,"Construct Southwest single family residence (bldg.C), per plan. (Establish use as and construct three single family residences and two duplex townhouse structures, per plan/Reviews and processing for 5 AP's under 6355898)"
359,6391966-CN,Multifamily,2013-11-15,2015-07-16,"Construct Northwest single family residence (bldg.A), per plan. (Establish use as and construct three single family residences and two duplex townhouse structures, per plan/Reviews and processing for 5 AP's under 6355898)"
360,6392291-CN,Multifamily,2013-11-15,2015-12-22,"Construct NE duplex structure with surface parking per plan. (Establish use as and construct 2 duplex towhouse and 4 unit towhouse structures, per plan. Reviews and processing for 3 AP's under 6337103)"
361,6366832-CN,Single Family/Duplex,2013-11-14,2015-10-21,"Construct South duplex single family residence per plan. (Establish use as and construct two unit townhome structures with attached garages, per plan. (Process and routing for two AP's under 6366832"
362,6392098-CN,Single Family/Duplex,2013-11-14,2015-10-21,"Construct North duplex single family residence per plan. (Establish use as and construct two unit townhome structures with attached garages, per plan. (Process and routing for two AP's under 6366832"
363,6390426-CN,Single Family/Duplex,2013-11-12,2015-07-15,Construct duplex. (Establish use for and construction of two single family residences and one 2-unit townhouse. Reviews and processing for 3 A/P's under 6381908).
364,6368081-CN,Single Family/Duplex,2013-11-06,2015-03-16,Construct single family residence (unit 1) and occupy per plan (Establish uses as duplex and single family residences and construct 1 new single family residence/review & prcess for 2 AP's under #6368081).
365,6382977-CN,Single Family/Duplex,2013-11-04,2015-03-06,"Construct new duplex this permit, per plan (Establish use as townhouses and single family residence and Construct 1 new duplex with attached garage and 1 new single family residence with attached garage/review and processing for 2 A/P's under 6382977)."
